Position,id,School Name,,
1,5940,University of St Gallen,0.95,University of St.Gallen
2,5917,HEC Paris,1,HEC Paris
3,2374,Insead,0.95,INSEAD
4,,Nova School of Business and Economics,0,
4,,Tsinghua University School of Economics and Management,1,
6,,Shanghai Jiao Tong University: Antai,0,
7,6009,ESCP Business School,1,ESCP Business School
8,,Tongji University School of Economics and Management,0,
9,6055,Stockholm School of Economics,1,Stockholm School of Economics
10,6049,London Business School,1,London Business School
10,5969,Essec Business School,0.9,ESSEC Business School
12,30962,EMLyon Business School,0.95,Emlyon Business School
13,36973,SDA Bocconi/Università Bocconi,0.9,Bocconi University
14,5938,Edhec Business School,0.95,EDHEC Business School
14,2235,Vlerick Business School,1,Vlerick Business School
16,6003,IESE Business School,1,IESE Business School
17,,Prague University of Economics and Business,0,
18,6106,WU Vienna University of Economics and Business,0.9,WU Executive Academy
18,,Skema Business School,0,
20,,Grenoble Ecole de Management,0,Grenoble Ecole de Management
20,,Rabat Business School – International University of Rabat,0,
22,6052,WHU – Otto Beisheim School of Management,0.98,WHU Otto Beisheim School of Management
22,2311,ESMT Berlin,1,ESMT Berlin
24,5921,Esade Business School,0.95,Esade
25,,Audencia,1,
26,,Iéseg School of Management,0,
27,,IE Business School,0,
28,,University of Mannheim,0,
28,,Indian Institute of Management Bangalore,0,Indian Institute of Management Bangalore
30,,Católica Lisbon School of Business and Economics,0,
30,,Neoma Business School,0,
32,,Luiss University/Luiss Business School,0,
33,6027,University College Dublin: Smurfit,0.95,UCD Smurfit Graduate Business School
34,,Indian Institute of Management Ahmedabad,1,
35,,SP Jain Institute of Management & Research (SPJIMR),0,
36,5952,Eada Business School Barcelona,0.95,EADA Business School Barcelona
37,,University of Cologne,1,University of Cologne
38,30367,"Trinity College Dublin, Trinity Business School",0.95,Trinity College Dublin
39,,Excelia Business School,0,
40,6054,Warwick Business School,1,Warwick Business School
41,,Indian Institute of Management Calcutta,0,
42,5972,Hult International Business School,1,Hult International Business School
43,,Paris School of Business,0,
44,,"University of Ljubljana, School of Economics and Business",0,
45,,EM Strasbourg Business School,0,
46,6022,HHL Leipzig Graduate School of Management,1,HHL Leipzig Graduate School of Management
47,,Lund University School of Economics and Management (Lusem),0,
47,5965,Imperial Business School,1,Imperial Business School
49,,Burgundy School of Business,0,
50,,MBS (Montpellier Business School),1,MBS (Montpellier Business School)
51,6001,Polimi School of Management,0.9,MIP Politecnico di Milano
52,37801,EBS Business School,1,EBS Business School
53,,Institut Mines-Télécom Business School,0,
54,,Kozminski University,0,Kozminski University
54,,Tum School of Management,0,
56,,Kedge Business School,0,
57,,Indian Institute of Management Lucknow,0,
58,,ZHAW School of Management and Law,1,ZHAW School of Management and Law
58,,XLRI — Xavier School of Management,1,XLRI — Xavier School of Management
60,6065,Hanken School of Economics,1,Hanken School of Economics
61,,University Carlos III de Madrid,0,
62,4317,Frankfurt School of Finance and Management,0.95,Frankfurt School of Finance &#038; Management
62,,University of Porto – FEP | PBS,0,
64,6116,Singapore Management University: Lee Kong Chian,0.9,Singapore Management University
65,5986,Bayes Business School,0.95,"Bayes Business School, City University London"
65,6075,"Maastricht University, School of Business and Economics",0.95,UMIO | Maastricht University
67,,ICN Business School,0,
68,,Essca School of Management,0,Essca School of Management
69,5193,Cranfield School of Management,1,Cranfield School of Management
69,,Indian Institute of Management Kozhikode,0,
71,,IAE Aix-Marseille Graduate School of Management,0,IAE Aix-Marseille Graduate School of Management
72,,Management Development Institute Gurgaon,0,Management Development Institute Gurgaon
72,5914,Queen's University: Smith,0.9,Smith School of Business @ Queen’s University
74,,"Louvain School of Management, UCLouvain",1,
75,,"HEC Lausanne, University of Lausanne",0.95,"HEC Lausanne, University of Lausanne"
76,2403,Nyenrode Business Universiteit,0.95,Nyenrode Business University
77,6057,University of Sydney Business School,1,University of Sydney Business School
78,,Jönköping International Business School,0,
78,5996,"Tias Business School, Tilburg University",0.9,TIAS Business School
78,,IQS — Universitat Ramon Llull,1,IQS — Universitat Ramon Llull
81,,Western University: Ivey,0,
82,,National Sun Yat-sen University,0,National Sun Yat-sen University
83,21846,NHH Norwegian School of Economics,1,NHH Norwegian School of Economics
84,6004,University of Bath School of Management,1,University of Bath School of Management
85,,EM Normandie Business School,1,EM Normandie Business School
85,,Indian Institute of Management Indore,0,Indian Institute of Management Indore
87,,Iscte Business School,0,
88,,Lancaster University Management School,1,
88,17358,BI Norwegian Business School,1,BI Norwegian Business School
90,6085,Solvay Brussels School of Economics and Management (ULB),0.9,Solvay Brussels School
91,17343,Antwerp Management School,1,Antwerp Management School
92,,Rennes School of Business,0,
93,,Esdes Business School,0,
94,24424,University of South Carolina: Moore,0.9,"Darla Moore School of Business, University of South Carolina"
95,,Católica Porto Business School,0,
96,2242,Alliance Manchester Business School,1,Alliance Manchester Business School
97,38284,Clermont School of Business,1,Clermont School of Business
98,,Indian Institute of Management Udaipur,1,Indian Institute of Management Udaipur
99,,IMI Delhi,0,
100,6025,University of Edinburgh Business School,1,University of Edinburgh Business School