Position,ID,School,,,,
1,5939,Ceibs,,,,
2,6009,ESCP Business School,,,,
4,6003,IESE Business School,,,,
5,6135,Trium: HEC Paris/LSE/NYU: Stern,,,,
6,6074,MIT: Sloan,,,,
7,6059,Arizona State University: WP Carey,,,,
7,6056,EMBA-Global: Columbia/LBS,,,,
9,2374,Insead,,,,
11,6007,University of Oxford: Saïd,,,,
12,36072,Guanghua-Kellogg,,,,0
13,6100,Skema Business School,,,,
14,6098,Yale School of Management,,,,
16,6049,London Business School,,,,
17,5942,IMD — International Institute for Management Development,,,,
18,5917,HEC Paris,,,,
19,5920,IE Business School,,,,
20,6072,"Northwestern University, Kellogg School of Management",,,,
22,6040,CUHK Business School,,,,
23,5957,SDA Bocconi School of Management,,,,
24,6024,HKU Business School,,,,
25,3048,University of Cambridge: Judge,,,,
26,5938,Edhec Business School,,,,
27,41390,University of Chicago: Booth,,,,
28,5949,Kedge Business School,,,,
29,36072,Kellogg/WHU Beisheim,,,,
30,6054,Warwick Business School,,,,
32,5966,National University of Singapore Business School,,,,
32,41581,UCLA Anderson School of Management,,,,
34,5940,University of St Gallen,,,,
36,5979,Kellogg/York University: Schulich,,,,
37,4317,Frankfurt School of Finance and Management,,,,
38,41187,New York University: Stern,,,,
39,6038,University of Michigan: Ross,,,,
40,32684,EMLyon Business School,,,,
40,5961,Indian School of Business,,,,
42,5922,University of Texas at Austin: McCombs,,,,
43,5969,Essec Business School,,,,
45,2311,ESMT Berlin,,,,
46,6071,Neoma Business School,,,,
47,6012,Grenoble Ecole de Management,,,,
48,5953,Emory University: Goizueta,,,,
49,5916,Georgetown University: McDonough,,,,
49,5950,The Lisbon MBA Catolica | Nova,,,,
52,5964,Henley Business School,,,,
53,5986,Bayes Business School,,,,
54,5999,University of Toronto: Rotman,,,,
55,6116,Singapore Management University: Lee Kong Chian,,,,
56,6029,Western University: Ivey,,,,
56,2235,Vlerick Business School,,,,
58,5189,Copenhagen Business School (CBS),,,,
58,1674,"Rotterdam School of Management, Erasmus University",,,,
61,5911,Vanderbilt University: Owen,,,,
64,5915,Cornell University: Johnson,,,,
65,30705,"Trinity College Dublin, Trinity Business School",,,,
66,29016,TBS Education,,,,
67,6055,Stockholm School of Economics,,,,
68,6115,Mannheim Business School,,,,
68,5956,Incae Business School,,,,
70,6083,"HEC Lausanne, University of Lausanne",,,,
71,5972,Hult International Business School,,,,
72,5193,Cranfield School of Management,,,,
73,6136,Rennes School of Business,,,,
75,5914,Queen's University: Smith,,,,
76,5936,Melbourne Business School,,,,
79,5996,"Tias Business School, Tilburg University",,,,
81,6027,University College Dublin: Smurfit,,,,
81,6081,Georgia Tech Scheller College of Business,,,,
81,6120,Fordham University: Gabelli,,,,
85,6000,UCT Graduate School of Business,,,,
86,5962,University of Maryland: Smith,,,,
89,46422,Audencia,,,,
90,5984,Peking University: HSBC,,,,
91,6094,University of California at Irvine: Merage,,,,
95,5954,Rice University: Jones,,,,
97,28852,Michigan State University: Broad,,,,
98,6001,Polimi School of Management,,,,
99,5952,Eada Business School Barcelona,,,,